"Córrego Fundo","BR.MG.220","BR",5821,20.4489,45.5554
"Córrego Novo","BR.MG.221","BR",2814,19.8317,42.4020
"Couto de Magalhães de Minas","BR.MG.222","BR",4245,18.0736,43.4708
"Crisólita","BR.MG.223","BR",6040,17.2387,40.9145
"Cristais","BR.MG.224","BR",13060,20.8745,45.5193
"Cristália","BR.MG.225","BR",5971,16.7186,42.8661
"Cristiano Otoni","BR.MG.226","BR",5007,20.8236,43.8133
"Cristina","BR.MG.227","BR",10242,22.2103,45.2631
"Crucilândia","BR.MG.228","BR",5434,20.3928,44.3384
"Cruzeiro da Fortaleza","BR.MG.229","BR",3934,18.9469,46.6733
"Cruzília","BR.MG.230","BR",15417,21.8404,44.8103
"Cuparaque","BR.MG.231","BR",5026,18.9697,41.0979
"Curral de Dentro","BR.MG.232","BR",10231,15.9383,41.8551
"Curvelo","BR.MG.233","BR",80352,18.7703,44.4299
"Datas","BR.MG.234","BR",5237,18.4474,43.6583
"Delfim Moreira","BR.MG.235","BR",7952,22.5085,45.2803
"Delfinópolis","BR.MG.236","BR",7186,20.3441,46.8507
"Delta","BR.MG.237","BR",9707,19.9719,47.7758
"Descoberto","BR.MG.238","BR",4768,21.4616,42.9674
"Desterro de Entre Rios","BR.MG.239","BR",7002,20.6612,44.3316
"Desterro do Melo","BR.MG.240","BR",2867,21.1477,43.5182
"Diamantina","BR.MG.241","BR",47702,18.2442,43.5980
"Diogo de Vasconcelos","BR.MG.242","BR",3549,20.4865,43.1990
"Dionísio","BR.MG.243","BR",6847,19.8413,42.7765
"Divinésia","BR.MG.244","BR",4226,20.9903,43.0049
"Divino","BR.MG.245","BR",19976,20.6088,42.1450
"Divino das Laranjeiras","BR.MG.246","BR",4979,18.7770,41.4792
"Divinolândia de Minas","BR.MG.247","BR",6516,18.8020,42.6150
"Divinópolis","BR.MG.248","BR",231091,20.1435,44.8904
"Divisa Alegre","BR.MG.249","BR",6946,15.7244,41.3433
"Divisa Nova","BR.MG.250","BR",6068,21.5097,46.1908
"Divisópolis","BR.MG.251","BR",9838,15.7209,41.0028
"Dom Bosco","BR.MG.252","BR",3818,16.6515,46.2685
"Dom Cavati","BR.MG.253","BR",4904,19.3764,42.1067
"Dom Joaquim","BR.MG.254","BR",4535,18.9672,43.2547
"Dom Silvério","BR.MG.255","BR",5227,20.1623,42.9670
"Dom Viçoso","BR.MG.256","BR",2991,22.2535,45.1620
"Dona Euzébia","BR.MG.257","BR",6093,21.3151,42.8121
"Dores de Campos","BR.MG.258","BR",9303,21.1095,44.0213
"Dores de Guanhães","BR.MG.259","BR",5223,19.0572,42.9304
"Dores do Indaiá","BR.MG.260","BR",13781,19.4614,45.5958
"Dores do Turvo","BR.MG.261","BR",4439,20.9750,43.1891
"Doresópolis","BR.MG.262","BR",1440,20.2875,45.9029
"Douradoquara","BR.MG.263","BR",1829,18.4310,47.6081
"Durandé","BR.MG.264","BR",7423,20.2040,41.7958
"Elói Mendes","BR.MG.265","BR",26336,21.6098,45.5663
"Engenheiro Caldas","BR.MG.266","BR",11134,19.1991,42.0468
"Engenheiro Navarro","BR.MG.267","BR",7244,17.2873,43.9515
"Entre Folhas","BR.MG.268","BR",5362,19.6253,42.2328
"Entre Rios de Minas","BR.MG.269","BR",15458,20.6664,44.0675
"Ervália","BR.MG.270","BR",20255,20.8375,42.6563
"Esmeraldas","BR.MG.271","BR",85598,19.6621,44.2307
"Espera Feliz","BR.MG.272","BR",25122,20.6514,41.9086
"Espinosa","BR.MG.273","BR",30443,14.9216,42.8099
"Espírito Santo do Dourado","BR.MG.274","BR",4429,22.0479,45.9511
"Estiva","BR.MG.275","BR",11449,22.4650,46.0157
"Estrela Dalva","BR.MG.276","BR",2470,21.7428,42.4619
"Estrela do Indaiá","BR.MG.277","BR",3515,19.5222,45.7880
"Estrela do Sul","BR.MG.278","BR",8057,18.7451,47.6927
"Eugenópolis","BR.MG.279","BR",11275,21.0989,42.1822
"Ewbank da Câmara","BR.MG.280","BR",3914,21.5508,43.5093
"Extrema","BR.MG.281","BR",53482,22.8542,46.3189
"Fama","BR.MG.282","BR",2348,21.4074,45.8301
"Faria Lemos","BR.MG.283","BR",3262,20.8052,42.0134
"Felício dos Santos","BR.MG.284","BR",5133,18.0779,43.2504
"Felisburgo","BR.MG.285","BR",7409,16.6391,40.7625
"Felixlândia","BR.MG.286","BR",13978,18.7569,44.8989
"Fernandes Tourinho","BR.MG.287","BR",3431,19.1538,42.0809
"Ferros","BR.MG.288","BR",9949,19.2325,43.0220
"Fervedouro","BR.MG.289","BR",11110,20.7265,42.2805
"Florestal","BR.MG.290","BR",7602,19.8877,44.4332
"Formiga","BR.MG.291","BR",68248,20.4653,45.4254
"Formoso","BR.MG.292","BR",7949,14.9525,46.2358
"Fortaleza de Minas","BR.MG.293","BR",4098,20.8500,46.7120
"Fortuna de Minas","BR.MG.294","BR",3442,19.5614,44.4475
"Francisco Badaró","BR.MG.295","BR",10244,16.9910,42.3515
"Francisco Dumont","BR.MG.296","BR",4867,17.3131,44.2324
"Francisco Sá","BR.MG.297","BR",25983,16.4787,43.4911
"Franciscópolis","BR.MG.298","BR",5803,17.9599,42.0071
"Frei Gaspar","BR.MG.299","BR",5880,18.0655,41.4290
"Frei Inocêncio","BR.MG.300","BR",9543,18.5630,41.9043
"Frei Lagonegro","BR.MG.301","BR",3391,18.1674,42.7662
"Fronteira","BR.MG.302","BR",18492,20.2821,49.2042
"Fronteira dos Vales","BR.MG.303","BR",4687,16.8922,40.9254
"Fruta de Leite","BR.MG.304","BR",5940,16.1161,42.5268
"Frutal","BR.MG.305","BR",60508,20.0263,48.9363
"Funilândia","BR.MG.306","BR",3854,19.3692,44.0597
"Galileia","BR.MG.307","BR",6817,18.9992,41.5385
"Gameleiras","BR.MG.308","BR",5139,15.0829,43.1185
"Glaucilândia","BR.MG.309","BR",3164,16.8501,43.6967
"Goiabeira","BR.MG.310","BR",2830,18.9809,41.2244
"Goianá","BR.MG.311","BR",3952,21.5384,43.2004
"Gonçalves","BR.MG.312","BR",4727,22.6593,45.8545
"Gonzaga","BR.MG.313","BR",6158,18.8238,42.4782
"Gouveia","BR.MG.314","BR",11331,18.4573,43.7421
"Governador Valadares","BR.MG.315","BR",257172,18.8558,41.9572
"Grão Mogol","BR.MG.316","BR",15667,16.5633,42.8931
"Grupiara","BR.MG.317","BR",1433,18.4944,47.7244
"Guanhães","BR.MG.318","BR",34573,18.7770,42.9380
"Guapé","BR.MG.319","BR",14258,20.7600,45.9186
"Guaraciaba","BR.MG.320","BR",9753,20.5716,43.0073
"Guaraciama","BR.MG.321","BR",4719,17.0139,43.6713
"Guaranésia","BR.MG.322","BR",19378,21.3005,46.8021
"Guarani","BR.MG.323","BR",8688,21.3589,43.0493
"Guarará","BR.MG.324","BR",4347,21.7263,43.0395
"Guarda-Mor","BR.MG.325","BR",6565,17.7705,47.0958
"Guaxupé","BR.MG.326","BR",52234,21.3049,46.7085
"Guidoval","BR.MG.327","BR",7210,21.1518,42.7981
"Guimarânia","BR.MG.328","BR",8478,18.8442,46.7942
"Guiricema","BR.MG.329","BR",8697,21.0085,42.7187
"Gurinhatã","BR.MG.330","BR",5577,19.2121,49.7863
"Heliodora","BR.MG.331","BR",6120,22.0665,45.5422
"Iapu","BR.MG.332","BR",12030,19.4382,42.2143
"Ibertioga","BR.MG.333","BR",5198,21.4334,43.9642
"Ibiá","BR.MG.334","BR",24946,19.4878,46.5450
"Ibiaí","BR.MG.335","BR",7839,16.8591,44.9092
"Ibiracatu","BR.MG.336","BR",6155,15.6658,44.1674
"Ibiraci","BR.MG.337","BR",13575,20.4657,47.1259
"Ibirité","BR.MG.338","BR",170387,20.0241,44.0590
"Ibitiúra de Minas","BR.MG.339","BR",3406,22.0626,46.4406
"Ibituruna","BR.MG.340","BR",2966,21.1528,44.7497
"Icaraí de Minas","BR.MG.341","BR",10677,16.2185,44.9037
"Igarapé","BR.MG.342","BR",45847,20.0714,44.3032
"Igaratinga","BR.MG.343","BR",10286,19.9518,44.7086
"Iguatama","BR.MG.344","BR",7901,20.1774,45.7082
"Ijaci","BR.MG.345","BR",5863,21.1714,44.9262
"Ilicínea","BR.MG.346","BR",11488,20.9383,45.8272
"Imbé de Minas","BR.MG.347","BR",6782,19.5994,41.9692
"Inconfidentes","BR.MG.348","BR",6908,22.3174,46.3255
"Indaiabira","BR.MG.349","BR",7351,15.4912,42.1993
"Indianópolis","BR.MG.350","BR",6693,19.0382,47.9160
"Ingaí","BR.MG.351","BR",2636,21.4017,44.9187
"Inhapim","BR.MG.352","BR",22692,19.5504,42.1218
"Inhaúma","BR.MG.353","BR",5781,19.4914,44.3884
"Inimutaba","BR.MG.354","BR",6729,18.7289,44.3614
"Ipaba","BR.MG.355","BR",18438,19.4144,42.4151
"Ipanema","BR.MG.356","BR",19552,19.8005,41.7141
"Ipatinga","BR.MG.357","BR",227731,19.4632,42.5593
"Ipiaçu","BR.MG.358","BR",4225,18.6932,49.9447
"Ipuiuna","BR.MG.359","BR",9135,22.0987,46.1899
"Iraí de Minas","BR.MG.360","BR",6464,18.9834,47.4618
"Itabira","BR.MG.361","BR",120904,19.6244,43.2236
"Itabirinha","BR.MG.362","BR",11446,18.5682,41.2344
"Itabirito","BR.MG.363","BR",51281,20.2482,43.8044
"Itacambira","BR.MG.364","BR",4982,17.0634,43.3083
"Itacarambi","BR.MG.365","BR",17208,15.0967,44.0960
"Itaguara","BR.MG.366","BR",12371,20.3923,44.4864
"Itaipé","BR.MG.367","BR",12572,17.4021,41.6701
"Itajubá","BR.MG.368","BR",93073,22.4247,45.4601
"Itamarandiba","BR.MG.369","BR",35130,17.8573,42.8584
"Itamarati de Minas","BR.MG.370","BR",3690,21.4168,42.8169
"Itambacuri","BR.MG.371","BR",23212,18.0344,41.6800
"Itambé do Mato Dentro","BR.MG.372","BR",2283,19.4168,43.3223
"Itamogi","BR.MG.373","BR",10501,21.0787,47.0491
"Itamonte","BR.MG.374","BR",14276,22.2830,44.8699
"Itanhandu","BR.MG.375","BR",14183,22.2956,44.9370
"Itanhomi","BR.MG.376","BR",12228,19.1715,41.8639
"Itaobim","BR.MG.377","BR",21096,16.5586,41.5026
"Itapagipe","BR.MG.378","BR",15243,19.9018,49.3701
"Itapecerica","BR.MG.379","BR",21377,20.4719,45.1242
"Itapeva","BR.MG.380","BR",8673,22.7682,46.2221
"Itatiaiuçu","BR.MG.381","BR",10674,20.1983,44.4211
"Itaú de Minas","BR.MG.382","BR",16108,20.7437,46.7505
"Itaúna","BR.MG.383","BR",97669,20.0761,44.5800
"Itaverava","BR.MG.384","BR",5758,20.6765,43.6100
"Itinga","BR.MG.385","BR",15022,16.6053,41.7726
"Itueta","BR.MG.386","BR",6039,19.3963,41.2260
"Ituiutaba","BR.MG.387","BR",102217,18.9746,49.4601
"Itumirim","BR.MG.388","BR",6139,21.3171,44.8711
"Iturama","BR.MG.389","BR",40101,19.7270,50.1938
"Itutinga","BR.MG.390","BR",3809,21.2976,44.6588
"Jaboticatubas","BR.MG.391","BR",20683,19.5221,43.7454
"Jacinto","BR.MG.392","BR",12134,16.1446,40.2915
"Jacuí","BR.MG.393","BR",7809,21.0158,46.7419
"Jacutinga","BR.MG.394","BR",26538,22.2832,46.6089
"Jaguaraçu","BR.MG.395","BR",3124,19.6469,42.7512
"Jaíba","BR.MG.396","BR",38413,15.3400,43.6768
"Jampruca","BR.MG.397","BR",5068,18.4604,41.8095
"Janaúba","BR.MG.398","BR",72374,15.8009,43.3094
"Januária","BR.MG.399","BR",67875,15.4888,44.3620
"Japaraíba","BR.MG.400","BR",3950,20.1394,45.5040
"Japonvar","BR.MG.401","BR",8556,15.9975,44.2727
"Jeceaba","BR.MG.402","BR",6197,20.5357,43.9828
"Jenipapo de Minas","BR.MG.403","BR",7692,17.0834,42.2595
"Jequeri","BR.MG.404","BR",12901,20.4545,42.6655
"Jequitaí","BR.MG.405","BR",8010,17.2318,44.4405
"Jequitibá","BR.MG.406","BR",5883,19.2389,44.0241
"Jequitinhonha","BR.MG.407","BR",25560,16.4333,41.0037
"Jesuânia","BR.MG.408","BR",4774,21.9981,45.2900
"Joaíma","BR.MG.409","BR",15476,16.6548,41.0248
"Joanésia","BR.MG.410","BR",4329,19.1753,42.6814
